# raw E8 rel32 scan over gap 0x0081a118..0x00821e90
# 752 calls total
# Calls to FUN_00670350: 0


# All targets by frequency
0x00933d81  x169
0x00933d8f  x68
0x008fc660  x68
0x00933d2f  x68
0x005d1c30  x68
0x006547c0  x68
0x00934591  x34
0x00533b50  x34
0x00653070  x5
0x008360f0  x2
0x00841850  x2
0x0091b4c0  x1
0x008fe710  x1
0x009010e0  x1
0x00903ed0  x1
0x00907700  x1
0x0090d480  x1
0x0090f780  x1
0x00787860  x1
0x00564530  x1
0x00566ab0  x1
0x00401000  x1
0x005ca350  x1
0x00780a30  x1
0x0040e780  x1
0x005750c0  x1
0x009186b0  x1
0x0091aa20  x1
0x0061b760  x1
0x0056d460  x1
0x008f15d0  x1
0x0061c690  x1
0x00563da0  x1
0x004c7040  x1
0x004c7ac0  x1
0x004c9320  x1
0x004caa90  x1
0x0040ab40  x1
0x0040cbe0  x1
0x00410570  x1
0x0077f150  x1
0x00404290  x1
0x00406c30  x1
0x00410d70  x1
0x0041e890  x1
0x0041fb80  x1
0x00422240  x1
0x0041dba0  x1
0x00421a40  x1
0x00536350  x1
0x0042a490  x1
0x0042ca80  x1
0x0042df00  x1
0x0042ff10  x1
0x00431030  x1
0x004323a0  x1
0x00433550  x1
0x004346f0  x1
0x00435cb0  x1
0x00436d60  x1
0x00437d70  x1
0x004392f0  x1
0x0043a640  x1
0x0043bae0  x1
0x0043cc50  x1
0x00428070  x1
0x004265e0  x1
0x004fdad0  x1
0x004feff0  x1
0x00500040  x1
0x00501160  x1
0x0053c1c0  x1
0x0053b2d0  x1
0x0053da60  x1
0x0053a590  x1
0x0055cf20  x1
0x0055b340  x1
0x0055f040  x1
0x00560b40  x1
0x005577a0  x1
0x00558c80  x1
0x00555e80  x1
0x00554600  x1
0x00556f90  x1
0x0055a8f0  x1
0x0057f370  x1
0x0057d0c0  x1
0x0057c470  x1
0x005a5390  x1
0x005a8600  x1
0x005a9e10  x1
0x005a4390  x1
0x005a6bc0  x1
0x005a95f0  x1
0x005c3660  x1
0x005c7f80  x1
0x005c6880  x1
0x005c28d0  x1
0x005c5d90  x1
0x005d3d00  x1
0x005d4ba0  x1
0x005d2240  x1
0x005d5930  x1
0x005e10a0  x1
0x005def20  x1
0x005dcee0  x1
0x005e22b0  x1
0x00623240  x1
0x0061e2a0  x1
0x0061d730  x1
0x00620430  x1
0x00624360  x1
0x00622900  x1
0x00621e00  x1
0x0061fb00  x1
0x00629d50  x1
0x0062ef10  x1
0x006340e0  x1
0x00638290  x1
0x0063c620  x1
0x006407b0  x1
0x00644940  x1
0x00627f80  x1
0x006262c0  x1
0x00648ce0  x1
0x00625c60  x1
0x0064c200  x1
0x0064db90  x1
0x0064b3d0  x1
0x0064eb00  x1
0x0064f520  x1
0x00776140  x1
0x007730e0  x1
0x00772680  x1
0x00774850  x1
0x00771ec0  x1
0x007795d0  x1
0x00777e10  x1
0x007770f0  x1
0x007b0e90  x1
0x007b35e0  x1
0x007b0190  x1
0x007b28f0  x1
0x007b4d30  x1
0x007b6b00  x1
0x007b8d30  x1
0x007b9d00  x1
0x007b5d90  x1
0x007bb290  x1
0x007d2bd0  x1
0x007d2080  x1
0x007d1330  x1
0x007d8d20  x1
0x007d6160  x1
0x007db3f0  x1
0x007dc390  x1
0x007d54b0  x1
0x007d7b80  x1
0x007d4b20  x1
0x008372d0  x1
0x0083cb40  x1
0x0083f0e0  x1
0x0087a890  x1
0x00879360  x1
0x0087c3a0  x1
0x00877930  x1
0x008ec240  x1
0x008ed9d0  x1
0x008ee7a0  x1
0x008eb690  x1
0x008f6390  x1
0x008fa2c0  x1
0x008f9560  x1
0x009142f0  x1
0x009138e0  x1
0x00915350  x1
0x00916cb0  x1
