      meta  ready=True hooks=8
[capture-framebuffers ON — every PRESENT will emit a ~1 MB base64 payload]
logging cm0102_GDI.exe pid=13684 for up to 20.0s (exit after 8.0s of silence). Interact with the game NOW.
   restore  from=0x14923b x=0 y=0
     panel  from=0x3222 x0=100 y0=10 x1=790 y1=70 style=30 colour=28672 pattern=0
      rect  from=0x1cf673 x0=100 y0=10 x1=790 y1=70 style=4 colour=28672
      line  from=0x1cd856 x0=100 y0=10 x1=790 y1=10 style=2 colour=28672
      line  from=0x1cd856 x0=100 y0=11 x1=790 y1=11 style=2 colour=28672
      line  from=0x1cd856 x0=100 y0=12 x1=790 y1=12 style=2 colour=28672
      line  from=0x1cd856 x0=100 y0=13 x1=790 y1=13 style=2 colour=28672
      line  from=0x1cd856 x0=100 y0=14 x1=790 y1=14 style=2 colour=28672
      line  from=0x1cd856 x0=100 y0=15 x1=790 y1=15 style=2 colour=28672
      line  from=0x1cd856 x0=100 y0=16 x1=790 y1=16 style=2 colour=28672
      line  from=0x1cd856 x0=100 y0=17 x1=790 y1=17 style=2 colour=28672
      line  from=0x1cd856 x0=100 y0=18 x1=790 y1=18 style=2 colour=28672
      line  from=0x1cd856 x0=100 y0=19 x1=790 y1=19 style=2 colour=28672
      line  from=0x1cd856 x0=100 y0=20 x1=790 y1=20 style=2 colour=28672
      line  from=0x1cd856 x0=100 y0=21 x1=790 y1=21 style=2 colour=28672
      line  from=0x1cd856 x0=100 y0=22 x1=790 y1=22 style=2 colour=28672
      line  from=0x1cd856 x0=100 y0=23 x1=790 y1=23 style=2 colour=28672
      line  from=0x1cd856 x0=100 y0=24 x1=790 y1=24 style=2 colour=28672
      line  from=0x1cd856 x0=100 y0=25 x1=790 y1=25 style=2 colour=28672
      line  from=0x1cd856 x0=100 y0=26 x1=790 y1=26 style=2 colour=28672
      line  from=0x1cd856 x0=100 y0=27 x1=790 y1=27 style=2 colour=28672
      line  from=0x1cd856 x0=100 y0=28 x1=790 y1=28 style=2 colour=28672
      line  from=0x1cd856 x0=100 y0=29 x1=790 y1=29 style=2 colour=28672
      line  from=0x1cd856 x0=100 y0=30 x1=790 y1=30 style=2 colour=28672
      line  from=0x1cd856 x0=100 y0=31 x1=790 y1=31 style=2 colour=28672
      line  from=0x1cd856 x0=100 y0=32 x1=790 y1=32 style=2 colour=28672
      line  from=0x1cd856 x0=100 y0=33 x1=790 y1=33 style=2 colour=28672
      line  from=0x1cd856 x0=100 y0=34 x1=790 y1=34 style=2 colour=28672
